word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"samobójstwo",U,1.4230769,3.6538463,6.0,4.8076925,3.8846154,9.945772,8.6339855,6.5212374,7.7510157,8.395803,8.192446
konkurencyjny,U,2.2307692,3.5,2.1923077,3.1923077,2.3461537,6.714114,5.547864,6.8908367,5.8682,6.741417,4.9488745
wojowniczy,U,3.1153846,3.3461537,1.8846154,3.2307692,1.4615384,5.7146354,5.8835173,7.2274327,5.9382553,7.546318,4.849101
"ruszać",U,3.0769231,1.7692307,1.6153846,1.8076923,1.5384616,4.8177533,6.4436393,6.629263,6.482243,6.6626554,3.2042809
bagno,U,1.7692307,2.5384614,2.5384614,3.5769231,4.1538463,7.6230435,7.311301,7.351387,6.3615546,5.6775713,5.695448
"przygotowywać",U,3.9615386,2.1153846,1.5769231,2.0384614,1.3846154,3.9826725,6.4267907,6.984853,6.505608,7.115283,4.1529207
tradycyjny,U,3.3076923,2.3846154,1.9230769,1.8846154,1.8846154,4.7058387,6.0196815,6.4768806,6.51384,6.495296,3.9192286
"dbać",U,5.076923,1.3076923,1.5769231,1.5,1.2307693,2.5715241,7.284647,7.07225,7.125223,7.361428,4.4367237
dodatek,U,4.3461537,1.3461539,1.3846154,1.4230769,1.3846154,3.1274402,6.952723,6.9385433,6.872857,6.9123907,3.8041778
"dokładność",U,5.076923,1.3076923,1.3461539,1.6538461,1.1923077,2.58283,7.283777,7.2502966,7.0200186,7.384208,4.426422
"latorośl",U,4.1538463,1.5,1.4230769,1.6923077,1.5,3.5582798,6.950721,7.0395026,6.8082266,6.846656,4.0334044
"znać",U,4.5384617,1.2692307,1.3461539,1.2692307,1.3076923,2.9010794,7.038951,6.9745035,7.0463815,6.993334,3.7801883
"zakłamany",U,1.2307693,4.730769,3.6923077,3.0769231,4.4615383,8.920078,6.095434,7.0605516,7.662684,6.4187036,6.641032
szkielet,U,1.7692307,2.1153846,3.4230769,3.6923077,3.1923077,7.4978967,7.38144,6.339277,6.020034,6.415494,5.188202
"zdjęcie",U,4.423077,1.6538461,2.4615386,1.6538461,1.4615384,3.9264374,7.2064924,6.5219073,7.1753573,7.362406,4.4881935
"odczuwać",U,4.076923,1.6153846,2.2307692,2.3846154,1.5769231,4.3518147,7.1370397,6.6251187,6.46777,7.1988726,4.3063607
cios,U,1.5384616,3.8461537,3.9230769,4.576923,2.3846154,8.400875,6.7530856,6.704578,6.0829773,7.9879766,6.235161
"magazynować",U,2.2692308,2.0384614,1.9615384,1.9230769,1.7692307,5.7452807,6.2759876,6.3721766,6.4377975,6.579529,3.0522614
huragan,U,1.1153846,3.2692308,3.8461537,4.6538463,2.5769231,8.70303,7.181937,6.6987863,5.892711,7.6440225,5.9833784
"złość",U,1.1538461,4.8461537,3.8846154,3.3846154,2.6153846,8.660088,5.5118895,6.587291,7.037008,7.687629,6.0345817
palec,U,2.8461537,1.3461539,1.5,1.4615384,1.3846154,4.5063496,6.428194,6.2444463,6.276441,6.373611,2.7159271
"łuk",U,2.6538463,1.5769231,1.3461539,2.3076923,1.3076923,5.0444384,6.4731913,6.6771936,5.57902,6.7516093,3.025102
turban,U,2.4230769,2.1538463,1.9230769,2.0769231,1.9615384,5.658431,6.267791,6.547877,6.342547,6.443061,3.4116995
zajazd,U,3.0769231,1.1923077,1.2692307,1.7307693,1.2307693,4.3227835,6.6973443,6.639027,6.1906075,6.6212454,2.6209424
wyzwoliciel,U,4.076923,1.6538461,1.6538461,1.8461539,1.4230769,3.8534594,6.928347,6.9467955,6.704089,7.081691,4.0021214
jama,U,1.9615384,1.7307693,1.8076923,2.8846154,2.1538463,6.3137636,6.787883,6.687291,5.5588183,6.2140317,3.4308531
zamieszanie,U,2.1153846,3.5,2.2307692,3.0769231,2.3461537,6.960685,5.8393164,7.084869,6.2581525,6.9770894,4.7223034
opady,U,1.9230769,2.8461537,3.0,2.1153846,2.5,6.954363,6.4480176,6.278959,7.1270394,6.8131504,4.2352934
"zarabiać",U,5.3076925,1.7307693,1.3846154,2.5,1.1923077,3.2729993,7.499969,7.7851157,6.8619585,7.9159474,5.129802
"złowrogi",U,1.0769231,3.8076923,3.0769231,4.5384617,2.8461537,8.7049265,6.702042,7.3722787,5.8225226,7.5452657,5.938905
pijany,U,1.6153846,3.2307692,3.7692308,3.2307692,4.3076925,8.4293995,7.397482,6.9222302,7.3964047,6.169866,6.229282
nosze,U,1.3461539,2.6153846,3.7307692,3.7307692,2.1153846,7.8995037,7.138835,6.021092,6.0350614,7.4901114,4.8667955
schorowany,U,1.1538461,3.3461537,5.0,4.3846154,2.7692308,9.045912,7.525793,5.9672694,6.6609335,8.061248,6.532954
"móc",U,4.923077,1.4615384,1.4615384,2.0,1.1153846,3.0763469,7.339219,7.367591,6.9142094,7.597968,4.481986
"mięsień",U,3.0769231,1.4615384,1.3076923,1.5384616,1.7307693,4.5729938,6.5457335,6.6827655,6.503745,6.219342,2.9804447
samowystarczalny,U,4.576923,1.1153846,1.7692307,1.4615384,1.1153846,3.1182277,7.4194536,6.7261014,7.1277084,7.398145,4.180201
kruk,U,2.0,1.7307693,2.1538463,2.5384614,1.9230769,6.116498,6.85975,6.4601192,6.0280933,6.63643,3.2986653
mafia,U,1.2307693,3.5769231,3.0769231,4.8461537,3.1153846,8.77409,7.2033973,7.699457,5.8275123,7.483658,6.2031603
"żebrać",U,1.0769231,3.4615386,4.3846154,2.9230769,3.3846154,8.628918,6.7837906,5.7687955,7.366051,6.975377,5.952756
sens,U,4.923077,1.8846154,2.3846154,2.5769231,1.4230769,4.2178426,7.6893444,7.274777,7.111062,7.927926,5.104484
jaszczurka,U,2.5769231,1.3076923,1.2692307,2.1923077,2.3076923,5.3468394,6.9573026,6.9270806,6.2041836,5.973468,3.213526
"spódnica",U,3.6923077,1.2307693,1.2692307,1.3461539,1.0,3.66581,6.8629208,6.816366,6.752675,7.028268,2.9044194
"malować",U,4.6538463,1.5,1.7307693,1.3076923,1.2692307,3.311578,7.067928,6.927323,7.2650805,7.2705927,4.0781374
bombowiec,U,1.6923077,3.3846154,3.2692308,4.3846154,2.9615386,8.156763,7.2298665,7.2360053,6.1052833,7.4966702,5.8877115
"zdolność",U,4.5384617,1.2692307,1.3461539,1.3461539,1.1153846,2.9454722,7.1307907,7.036324,7.0555954,7.227521,3.8369434
"zarząd",U,2.0769231,2.6923077,1.8846154,2.2692308,2.3076923,6.4075465,6.016381,6.73978,6.4023876,6.3215537,3.4778323
proroczy,U,2.7692308,1.8846154,1.8076923,3.1538463,1.8846154,5.815997,6.845255,6.969962,5.6752286,6.85597,3.9798586
masakra,U,1.1923077,4.230769,4.3076925,4.8076925,3.4615386,9.30828,7.4364743,7.3350673,6.837665,7.758405,7.1043844
pizzeria,U,4.5,1.5,1.4615384,1.4615384,1.3461539,3.1561596,7.1106067,7.127039,7.1180835,7.2146153,4.09051
diamentowy,U,4.8076925,1.1538461,1.2692307,1.3461539,1.0,2.6306798,7.327413,7.2304792,7.1763735,7.4180984,3.989647
"uchodźca",U,1.7692307,2.4230769,3.5,3.6538463,1.8461539,7.5383463,7.160642,6.048149,5.7777057,7.4806223,4.9582777
"podziękowanie",U,4.730769,1.1923077,1.2692307,1.3461539,1.1153846,2.727548,7.2201796,7.179623,7.1022515,7.2966394,3.9557211
